City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,3.9,96,100,0.89,NZ,1723124232
1,grytviken,-54.2811,-36.5092,-8.34,90,100,5.08,GS,1723124232
2,port-aux-francais,-49.35,70.2167,1.27,70,99,12.0,TF,1723124232
3,vazante,-17.9869,-46.9078,26.89,36,0,2.92,BR,1723124232
4,alice springs,-23.7,133.8833,10.75,62,0,0.0,AU,1723124232
5,puerto natales,-51.7236,-72.4875,2.25,87,75,2.06,CL,1723124232
6,lompoc,34.6391,-120.4579,14.52,96,100,0.0,US,1723124233
7,west island,-12.1568,96.8225,26.99,78,20,4.63,CC,1723124233
8,isafjordur,66.0755,-23.124,8.02,87,100,6.17,IS,1723124233
9,tolanaro,-25.0319,46.9987,21.04,88,40,10.8,MG,1723124234
10,baruun-urt,46.6806,113.2792,17.28,88,100,3.38,MN,1723124234
11,karratha,-20.7377,116.8463,22.46,50,60,3.22,AU,1723124234
12,najran,17.4924,44.1277,36.36,31,81,4.32,SA,1723124234
13,kiunga,-6.1219,141.2906,22.97,99,92,1.64,PG,1723124234
14,vanino,49.0869,140.2543,14.8,98,93,2.87,RU,1723124234
15,bilibino,68.0546,166.4372,5.16,68,97,2.51,RU,1723124234
16,adamstown,-25.066,-130.1015,20.56,76,100,7.74,PN,1723124235
17,xique xique,-10.8217,-42.7311,28.09,45,1,5.4,BR,1723124235
18,malango,-2.9627,119.9001,19.15,100,100,0.75,ID,1723124235
19,horta,38.5333,-28.6333,25.8,69,20,5.14,PT,1723124235
20,kingston,17.997,-76.7936,30.53,74,40,5.14,JM,1723124187
21,lospalos,-8.5186,127.0025,20.72,81,1,4.41,TL,1723124235
22,bosaso,11.2842,49.1816,33.99,70,0,6.17,SO,1723124235
23,saipan,15.1355,145.701,28.39,78,20,0.0,MP,1723124235
24,betio village,1.358,172.9211,28.02,66,67,3.51,KI,1723124235
25,thompson,55.7435,-97.8558,11.09,87,75,1.54,CA,1723124236
26,pisco,-13.7,-76.2167,16.12,82,100,0.51,PE,1723124045
27,iqaluit,63.7506,-68.5145,9.85,76,100,7.72,CA,1723124236
28,rodolfo sanchez taboada,31.7167,-116.5667,19.5,80,2,1.6,MX,1723124236
29,afaahiti,-17.75,-149.2833,23.93,83,58,3.73,PF,1723124236
30,new norfolk,-42.7826,147.0587,13.29,82,100,3.22,AU,1723124236
31,carnarvon,-24.8667,113.6333,19.11,66,0,6.53,AU,1723124236
32,soio,-6.1349,12.3689,23.95,69,23,4.83,AO,1723124236
33,puerto ayora,-0.7393,-90.3518,19.19,94,99,2.24,EC,1723124236
34,ushuaia,-54.8,-68.3,1.81,93,40,2.57,AR,1723124237
35,peterhead,57.5058,-1.7981,18.58,76,100,7.53,GB,1723124237
36,talnakh,69.4865,88.3972,15.85,47,11,7.34,RU,1723124237
37,kapuskasing,49.4169,-82.4331,15.05,94,100,2.06,CA,1723124237
38,kodiak,57.79,-152.4072,11.73,100,100,0.0,US,1723124237
39,margaret river,-33.95,115.0667,15.72,72,100,5.21,AU,1723124237
40,kilinochchi,9.3961,80.3982,27.35,78,11,2.61,LK,1723124237
41,ola,59.5833,151.2833,11.23,97,59,0.88,RU,1723124237
42,souillac,-20.5167,57.5167,24.21,69,40,2.57,MU,1723124237
43,snowflake,34.5134,-110.0785,19.86,61,61,0.42,US,1723124237
44,tiksi,71.6872,128.8694,6.99,89,100,4.62,RU,1723124238
45,nynashamn,58.9034,17.9479,22.87,78,100,4.01,SE,1723124238
46,yellowknife,62.456,-114.3525,18.56,67,20,4.63,CA,1723124238
47,edinburgh of the seven seas,-37.0676,-12.3116,9.6,85,100,9.17,SH,1723124238
48,hermanus,-34.4187,19.2345,19.33,72,10,8.99,ZA,1723124238
49,tazovsky,67.4667,78.7,12.01,59,69,5.23,RU,1723124238
50,waitangi,-43.9535,-176.5597,10.46,90,95,0.89,NZ,1723124238
51,kavieng,-2.5744,150.7967,27.5,79,27,3.67,PG,1723124238
52,avarua,-21.2078,-159.775,20.03,56,40,1.54,CK,1723124238
53,tamanrasset,22.785,5.5228,35.95,10,0,5.14,DZ,1723124238
